Allocated VM RAM
0 13696 2120
1 14724 3176
2 15752 4232
3 16780 5288
4 17808 6344
5 18836 7400
6 19864 8456
7 20892 9512
8 21920 10568
9 22948 11360
10 23976 12416
11 25004 13472
12 26032 14528
13 27060 15584
14 28088 16640
15 29116 17696
16 30144 18752
17 31172 19544
18 32200 20600
19 33228 21656
20 34256 22712
21 35284 23768
22 36312 24824
23 37340 25880
24 38368 26936
25 39396 27728
26 40424 28784
27 41452 29840
28 42480 30896
29 43508 31952
30 44536 33008
31 45564 34064
32 46592 35120
33 47620 36176
34 48648 36968
35 49676 38024
36 50704 39080
37 51732 40136
38 52760 41192
39 53788 42248
40 54816 43304
41 55844 44360
42 56872 45152
43 57900 46208
44 58928 47264
45 59956 48320
46 60984 49376
47 62012 50432
48 63040 51488
49 64068 52544
