16,16,16828,1124,19
32,16,16832,1388,18
64,16,16832,1388,18
128,16,16968,1388,18
256,16,17092,1600,18
512,16,17348,1860,18
1024,16,17860,2388,18
2048,16,18884,3444,17
4096,16,20932,5556,20
8192,16,25028,9780,22
16384,16,33220,17964,18
32768,16,49604,34332,18
65536,16,82372,67068,24
131072,16,147908,132540,63
262144,16,278980,263484,18
16,64,16832,1600,18
32,64,16832,1600,18
64,64,16832,1600,18
128,64,16968,1600,25
256,64,16968,1600,24
512,64,17344,1860,19
1024,64,17856,2388,19
2048,64,18880,3444,23
4096,64,20928,5556,39
8192,64,25024,9516,47
16384,64,33216,17700,44
32768,64,65988,50436,37
65536,64,98756,83328,49
131072,64,164292,148800,37
262144,64,295364,279744,39
16,256,33216,17860,18
32,256,33216,17860,17
64,256,33216,17860,18
128,256,33216,17860,18
256,256,33216,17860,19
512,256,33216,17860,22
1024,256,33216,17860,28
2048,256,33216,17860,28
4096,256,33216,17860,65
8192,256,33216,17860,61
16384,256,33216,17860,60
32768,256,65988,50592,62
65536,256,98756,83328,127
131072,256,164292,148800,63
262144,256,295364,279744,56
16,1024,33216,17860,19
32,1024,33216,17860,18
64,1024,33216,17860,20
128,1024,33216,17860,20
256,1024,33216,17860,22
512,1024,33216,17860,27
1024,1024,33216,17860,28
2048,1024,33216,17860,109
4096,1024,33216,17860,83
8192,1024,33216,17860,101
16384,1024,33216,17860,95
32768,1024,65988,50592,103
65536,1024,98756,83328,102
131072,1024,164292,148800,156
262144,1024,295364,279744,116
